age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y_no,y_yes
30, 1, 59496, 1, 13, 1, 4, 3, 1, 2, 2407, 0, 40, 1, 0,1
32, 0, 293936, 9, 4, 6, 0, 4, 1, 2, 0, 0, 40, 0, 0,1
48, 1, 149640, 4, 9, 1, 11, 3, 1, 2, 0, 0, 40, 1, 0,1
42, 1, 116632, 14, 16, 1, 6, 3, 1, 2, 0, 0, 45, 1, 1,0
29, 1, 105598, 2, 10, 2, 1, 4, 1, 2, 0, 0, 58, 1, 0,1
36, 1, 155537, 4, 9, 1, 2, 3, 1, 2, 0, 0, 40, 1, 0,1
28, 1, 183175, 2, 10, 2, 9, 4, 1, 1, 0, 0, 40, 1, 0,1
53, 1, 169846, 4, 9, 1, 9, 1, 1, 1, 0, 0, 40, 1, 1,0
49, 3, 191681, 2, 10, 1, 5, 3, 1, 2, 0, 0, 50, 1, 1,0
25, 0, 200681, 2, 10, 3, 0, 2, 1, 2, 0, 0, 40, 1, 0,1
19, 1, 101509, 2, 10, 3, 6, 2, 1, 2, 0, 0, 32, 1, 0,1
31, 1, 309974, 1, 13, 4, 4, 2, 5, 1, 0, 0, 40, 1, 0,1
29, 2, 162298, 1, 13, 1, 4, 3, 1, 2, 0, 0, 70, 1, 1,0
23, 1, 211678, 2, 10, 3, 8, 4, 1, 2, 0, 0, 40, 1, 0,1
79, 1, 124744, 2, 10, 1, 6, 5, 1, 2, 0, 0, 20, 1, 0,1
27, 1, 213921, 4, 9, 3, 3, 2, 1, 2, 0, 0, 40, 21, 0,1
40, 1, 32214, 6, 12, 1, 9, 3, 1, 2, 0, 0, 40, 1, 0,1
67, 0, 212759, 13, 6, 1, 0, 3, 1, 2, 0, 0, 2, 1, 0,1
18, 1, 309634, 3, 7, 3, 3, 2, 1, 1, 0, 0, 22, 1, 0,1
31, 5, 125927, 9, 4, 1, 10, 3, 1, 2, 0, 0, 40, 1, 0,1
18, 1, 446839, 4, 9, 3, 4, 4, 1, 2, 0, 0, 30, 1, 0,1
52, 1, 276515, 1, 13, 1, 3, 3, 1, 2, 0, 0, 40, 13, 0,1
46, 1, 51618, 4, 9, 1, 3, 1, 1, 1, 0, 0, 40, 1, 0,1
59, 1, 159937, 4, 9, 1, 4, 3, 1, 2, 0, 0, 48, 1, 0,1
44, 1, 343591, 4, 9, 2, 2, 4, 1, 1, 14344, 0, 40, 1, 1,0
53, 1, 346253, 4, 9, 2, 4, 2, 1, 1, 0, 0, 35, 1, 0,1
49, 5, 268234, 4, 9, 1, 13, 3, 1, 2, 0, 0, 40, 1, 1,0
33, 1, 202051, 11, 14, 1, 6, 3, 1, 2, 0, 0, 50, 1, 0,1
30, 1, 54334, 8, 5, 3, 4, 4, 1, 2, 0, 0, 40, 1, 0,1
43, 4, 410867, 14, 16, 3, 6, 4, 1, 1, 0, 0, 50, 1, 1,0
57, 1, 249977, 7, 11, 1, 6, 3, 1, 2, 0, 0, 40, 1, 0,1
37, 1, 286730, 2, 10, 2, 2, 6, 1, 1, 0, 0, 40, 1, 0,1
28, 1, 212563, 2, 10, 2, 8, 6, 5, 1, 0, 0, 25, 1, 0,1
30, 1, 117747, 4, 9, 1, 4, 1, 2, 1, 0, 1573, 35, 0, 0,1
34, 5, 226296, 1, 13, 1, 13, 3, 1, 2, 0, 0, 40, 1, 1,0
29, 5, 115585, 2, 10, 3, 7, 4, 1, 2, 0, 0, 50, 1, 0,1
48, 2, 191277, 14, 16, 1, 6, 3, 1, 2, 0, 1902, 60, 1, 1,0
37, 1, 202683, 2, 10, 1, 4, 3, 1, 2, 0, 0, 48, 1, 1,0
48, 1, 171095, 6, 12, 2, 5, 6, 1, 1, 0, 0, 40, 3, 0,1
32, 4, 249409, 4, 9, 3, 3, 2, 5, 2, 0, 0, 40, 1, 0,1
76, 1, 124191, 11, 14, 1, 5, 3, 1, 2, 0, 0, 40, 1, 1,0
44, 1, 198282, 1, 13, 1, 5, 3, 1, 2, 15024, 0, 60, 1, 1,0
47, 2, 149116, 11, 14, 3, 6, 4, 1, 1, 0, 0, 50, 1, 0,1
20, 1, 188300, 2, 10, 3, 1, 2, 1, 1, 0, 0, 40, 1, 0,1
29, 1, 103432, 4, 9, 3, 2, 4, 1, 2, 0, 0, 40, 1, 0,1
32, 3, 317660, 4, 9, 1, 2, 3, 1, 2, 7688, 0, 40, 1, 1,0
17, 0, 304873, 13, 6, 3, 0, 2, 1, 1, 34095, 0, 32, 1, 0,1
30, 1, 194901, 3, 7, 3, 7, 2, 1, 2, 0, 0, 40, 1, 0,1
31, 5, 189265, 4, 9, 3, 9, 4, 1, 1, 0, 0, 40, 1, 0,1
42, 1, 124692, 4, 9, 1, 7, 3, 1, 2, 0, 0, 40, 1, 0,1
24, 1, 432376, 1, 13, 3, 4, 5, 1, 2, 0, 0, 40, 1, 0,1
38, 1, 65324, 5, 15, 1, 6, 3, 1, 2, 0, 0, 40, 1, 1,0
56, 2, 335605, 4, 9, 1, 3, 3, 1, 2, 0, 1887, 50, 5, 1,0
28, 1, 377869, 2, 10, 1, 4, 1, 1, 1, 4064, 0, 25, 1, 0,1
36, 1, 102864, 4, 9, 3, 8, 2, 1, 1, 0, 0, 40, 1, 0,1
53, 1, 95647, 8, 5, 1, 7, 3, 1, 2, 0, 0, 50, 1, 0,1
56, 3, 303090, 2, 10, 1, 4, 3, 1, 2, 0, 0, 50, 1, 0,1
49, 5, 197371, 7, 11, 1, 2, 3, 5, 2, 0, 0, 40, 1, 1,0
55, 1, 247552, 2, 10, 1, 4, 3, 1, 2, 0, 0, 56, 1, 0,1
22, 1, 102632, 4, 9, 3, 2, 4, 1, 2, 0, 0, 41, 1, 0,1
21, 1, 199915, 2, 10, 3, 3, 2, 1, 1, 0, 0, 40, 1, 0,1
40, 1, 118853, 1, 13, 1, 5, 3, 1, 2, 0, 0, 60, 1, 0,1
30, 1, 77143, 1, 13, 3, 5, 2, 5, 2, 0, 0, 40, 6, 0,1
29, 6, 267989, 1, 13, 1, 6, 3, 1, 2, 0, 0, 50, 1, 1,0
19, 1, 301606, 2, 10, 3, 3, 2, 5, 2, 0, 0, 35, 1, 0,1
47, 1, 287828, 1, 13, 1, 5, 1, 1, 1, 0, 0, 40, 1, 1,0
20, 1, 111697, 2, 10, 3, 9, 2, 1, 1, 0, 1719, 28, 1, 0,1
31, 1, 114937, 6, 12, 1, 9, 3, 1, 2, 0, 0, 40, 1, 1,0
35, 0, 129305, 4, 9, 1, 0, 3, 1, 2, 0, 0, 40, 1, 0,1
39, 1, 365739, 2, 10, 2, 2, 4, 1, 2, 0, 0, 40, 1, 0,1
28, 1, 69621, 6, 12, 3, 4, 4, 1, 1, 0, 0, 60, 1, 0,1
24, 1, 43323, 4, 9, 3, 3, 4, 1, 1, 0, 1762, 40, 1, 0,1
38, 2, 120985, 4, 9, 1, 2, 3, 1, 2, 4386, 0, 35, 1, 0,1
37, 1, 254202, 1, 13, 1, 4, 3, 1, 2, 0, 0, 50, 1, 0,1
46, 1, 146195, 6, 12, 2, 1, 4, 5, 1, 0, 0, 36, 1, 0,1
38, 4, 125933, 11, 14, 1, 6, 3, 1, 2, 0, 0, 40, 14, 1,0
43, 2, 56920, 4, 9, 1, 2, 3, 1, 2, 0, 0, 60, 1, 0,1
27, 1, 163127, 7, 11, 1, 9, 1, 1, 1, 0, 0, 35, 1, 0,1
20, 1, 34310, 2, 10, 3, 4, 2, 1, 2, 0, 0, 20, 1, 0,1
49, 1, 81973, 2, 10, 1, 2, 3, 2, 2, 0, 0, 40, 1, 1,0
61, 3, 66614, 4, 9, 1, 2, 3, 1, 2, 0, 0, 40, 1, 0,1
27, 1, 232782, 2, 10, 3, 4, 2, 1, 1, 0, 0, 40, 1, 0,1
19, 1, 316868, 2, 10, 3, 3, 2, 1, 2, 0, 0, 30, 21, 0,1
45, 1, 196584, 7, 11, 3, 6, 4, 1, 1, 0, 1564, 40, 1, 1,0
70, 1, 105376, 2, 10, 3, 1, 5, 1, 2, 0, 0, 40, 1, 0,1
31, 1, 185814, 4, 9, 3, 11, 6, 5, 1, 0, 0, 30, 1, 0,1
22, 1, 175374, 2, 10, 1, 3, 3, 1, 2, 0, 0, 24, 1, 0,1
36, 1, 108293, 4, 9, 5, 3, 6, 1, 1, 0, 0, 24, 1, 0,1
64, 1, 181232, 3, 7, 1, 2, 3, 1, 2, 0, 2179, 40, 1, 0,1
43, 0, 174662, 2, 10, 2, 0, 4, 1, 1, 0, 0, 40, 1, 0,1
47, 5, 186009, 2, 10, 2, 9, 6, 1, 1, 0, 0, 38, 21, 0,1
34, 1, 198183, 4, 9, 3, 9, 4, 1, 1, 0, 0, 40, 1, 0,1
33, 1, 163003, 1, 13, 3, 5, 5, 2, 1, 0, 0, 40, 16, 0,1
21, 1, 296158, 4, 9, 3, 2, 2, 1, 2, 0, 0, 35, 1, 0,1
52, 0, 252903, 4, 9, 2, 0, 4, 1, 2, 0, 0, 45, 1, 1,0
48, 1, 187715, 4, 9, 1, 2, 3, 1, 2, 0, 0, 46, 1, 0,1
23, 1, 214542, 1, 13, 3, 7, 4, 1, 2, 0, 0, 40, 1, 0,1
71, 2, 494223, 2, 10, 4, 4, 6, 5, 2, 0, 1816, 2, 1, 0,1
29, 1, 191535, 4, 9, 2, 2, 4, 1, 2, 0, 0, 60, 1, 0,1
42, 1, 228456, 1, 13, 4, 3, 5, 5, 2, 0, 0, 50, 1, 0,1
68, 0, 38317, 12, 2, 2, 0, 4, 1, 1, 0, 0, 20, 1, 0,1
25, 1, 252752, 4, 9, 3, 3, 6, 1, 1, 0, 0, 40, 1, 0,1
44, 3, 78374, 11, 14, 2, 5, 6, 2, 1, 0, 0, 40, 1, 0,1
28, 1, 88419, 4, 9, 3, 5, 4, 2, 1, 0, 0, 40, 3, 0,1
45, 2, 201080, 11, 14, 1, 4, 3, 1, 2, 0, 0, 40, 1, 1,0
36, 1, 207157, 2, 10, 2, 3, 6, 1, 1, 0, 0, 40, 21, 0,1
39, 4, 235485, 6, 12, 3, 5, 4, 1, 2, 0, 0, 42, 1, 0,1
46, 6, 102628, 11, 14, 5, 13, 6, 1, 2, 0, 0, 40, 1, 0,1
18, 1, 25828, 3, 7, 3, 7, 2, 1, 2, 0, 0, 16, 1, 0,1
66, 5, 54826, 7, 11, 5, 6, 4, 1, 1, 0, 0, 20, 1, 0,1
27, 1, 124953, 4, 9, 3, 3, 4, 1, 2, 0, 1980, 40, 1, 0,1
28, 6, 175325, 4, 9, 1, 13, 3, 1, 2, 0, 0, 40, 1, 0,1
51, 1, 96062, 2, 10, 1, 4, 3, 1, 2, 0, 1977, 40, 1, 1,0
27, 1, 428030, 1, 13, 3, 2, 4, 1, 2, 0, 0, 50, 1, 0,1
28, 6, 149624, 1, 13, 1, 6, 3, 1, 2, 0, 0, 40, 1, 1,0
27, 1, 253814, 4, 9, 6, 4, 6, 1, 1, 0, 0, 25, 1, 0,1
21, 1, 312956, 4, 9, 3, 2, 2, 5, 2, 0, 0, 40, 1, 0,1
34, 1, 483777, 4, 9, 3, 7, 4, 5, 2, 0, 0, 40, 1, 0,1
18, 1, 183930, 4, 9, 3, 3, 2, 1, 2, 0, 0, 12, 1, 0,1
33, 1, 37274, 1, 13, 1, 6, 3, 1, 2, 0, 0, 65, 1, 0,1
44, 5, 181344, 2, 10, 1, 5, 3, 5, 2, 0, 0, 38, 1, 1,0
43, 1, 114580, 2, 10, 2, 9, 4, 1, 1, 0, 0, 40, 1, 0,1
30, 1, 633742, 2, 10, 3, 2, 4, 5, 2, 0, 0, 45, 1, 0,1
40, 1, 286370, 9, 4, 1, 8, 3, 1, 2, 0, 0, 40, 21, 1,0
37, 4, 29054, 2, 10, 1, 9, 3, 1, 2, 0, 0, 42, 1, 1,0
34, 1, 304030, 4, 9, 1, 9, 3, 5, 2, 0, 0, 40, 1, 0,1
41, 2, 143129, 1, 13, 2, 5, 4, 1, 1, 0, 0, 40, 1, 0,1
53, 0, 135105, 1, 13, 2, 0, 4, 1, 1, 0, 0, 50, 1, 0,1
31, 1, 99928, 11, 14, 1, 6, 1, 1, 1, 0, 0, 50, 1, 0,1
58, 6, 109567, 14, 16, 1, 6, 3, 1, 2, 0, 0, 1, 1, 1,0
38, 1, 155222, 2, 10, 2, 8, 4, 5, 1, 0, 0, 28, 1, 0,1
24, 1, 159567, 2, 10, 1, 8, 3, 1, 2, 0, 0, 40, 1, 0,1
41, 5, 523910, 1, 13, 1, 2, 3, 5, 2, 0, 0, 40, 1, 0,1
47, 1, 120939, 2, 10, 1, 1, 3, 1, 2, 0, 0, 45, 1, 0,1
41, 4, 130760, 1, 13, 1, 1, 3, 1, 2, 0, 0, 24, 1, 0,1
23, 1, 197387, 15, 3, 1, 11, 5, 1, 2, 0, 0, 40, 21, 0,1
36, 1, 99374, 2, 10, 2, 2, 4, 1, 2, 0, 0, 40, 1, 0,1
40, 4, 56795, 11, 14, 3, 5, 4, 1, 1, 14084, 0, 55, 1, 1,0
35, 1, 138992, 11, 14, 1, 6, 5, 1, 2, 7298, 0, 40, 1, 1,0
24, 2, 32921, 4, 9, 3, 4, 4, 1, 2, 0, 0, 40, 1, 0,1
26, 1, 397317, 11, 14, 3, 6, 4, 1, 1, 0, 1876, 40, 1, 0,1
19, 0, 170653, 4, 9, 3, 0, 2, 1, 2, 0, 0, 40, 17, 0,1
51, 1, 259323, 1, 13, 1, 5, 3, 1, 2, 0, 0, 50, 1, 1,0
42, 5, 254817, 2, 10, 3, 6, 4, 1, 1, 0, 1340, 40, 1, 0,1
37, 6, 48211, 4, 9, 2, 9, 6, 1, 1, 0, 0, 35, 1, 0,1
18, 1, 140164, 3, 7, 3, 4, 2, 1, 1, 0, 0, 40, 1, 0,1
36, 1, 128757, 1, 13, 1, 3, 3, 5, 2, 7298, 0, 36, 1, 1,0
35, 1, 36270, 4, 9, 2, 2, 4, 1, 2, 0, 0, 60, 1, 0,1
58, 3, 210563, 4, 9, 1, 4, 1, 1, 1, 15024, 0, 35, 1, 1,0
17, 1, 65368, 3, 7, 3, 4, 2, 1, 1, 0, 0, 12, 1, 0,1
44, 5, 160943, 4, 9, 1, 11, 3, 5, 2, 0, 0, 40, 1, 0,1
37, 1, 208358, 4, 9, 1, 2, 3, 1, 2, 0, 0, 40, 1, 1,0
35, 1, 153790, 2, 10, 3, 4, 4, 3, 1, 0, 0, 40, 1, 0,1
60, 1, 85815, 4, 9, 1, 2, 3, 2, 2, 0, 0, 40, 1, 0,1
54, 3, 125417, 9, 4, 1, 8, 3, 1, 2, 0, 0, 40, 1, 1,0
37, 1, 635913, 1, 13, 3, 5, 4, 5, 2, 0, 0, 60, 1, 1,0
50, 1, 313321, 6, 12, 2, 4, 4, 1, 1, 0, 0, 40, 1, 0,1
38, 1, 182609, 1, 13, 1, 4, 3, 1, 2, 0, 0, 50, 18, 0,1
45, 1, 109434, 1, 13, 1, 6, 3, 1, 2, 0, 0, 55, 1, 0,1
25, 1, 255004, 13, 6, 3, 2, 4, 1, 2, 0, 0, 40, 1, 0,1
31, 1, 197860, 2, 10, 1, 7, 3, 1, 2, 0, 0, 40, 1, 0,1
64, 0, 187656, 12, 2, 2, 0, 4, 1, 2, 0, 0, 40, 1, 0,1
90, 1, 51744, 4, 9, 3, 3, 4, 5, 2, 0, 2206, 40, 1, 0,1
54, 1, 176681, 4, 9, 1, 9, 3, 5, 2, 0, 0, 20, 1, 0,1
53, 5, 140359, 16, 1, 3, 8, 4, 1, 1, 0, 0, 35, 1, 0,1
18, 1, 243313, 4, 9, 3, 4, 2, 1, 1, 0, 0, 40, 1, 0,1
60, 0, 24215, 13, 6, 2, 0, 4, 3, 1, 0, 0, 10, 1, 0,1
66, 2, 167687, 4, 9, 1, 10, 3, 1, 2, 1409, 0, 50, 1, 0,1
75, 1, 314209, 7, 11, 5, 9, 4, 1, 1, 0, 0, 20, 30, 0,1
65, 1, 176796, 4, 9, 2, 9, 4, 1, 1, 0, 0, 40, 1, 0,1
35, 1, 538583, 3, 7, 4, 11, 4, 5, 2, 3674, 0, 40, 1, 0,1
41, 1, 130408, 4, 9, 2, 4, 6, 5, 1, 0, 0, 38, 1, 0,1
25, 1, 159732, 2, 10, 3, 9, 4, 1, 2, 0, 0, 42, 1, 0,1
33, 1, 110978, 2, 10, 2, 2, 5, 4, 1, 0, 0, 40, 1, 0,1
28, 1, 76714, 5, 15, 3, 6, 4, 1, 2, 0, 0, 55, 1, 1,0
59, 6, 268700, 4, 9, 1, 3, 3, 1, 2, 0, 0, 40, 1, 0,1
40, 6, 170525, 2, 10, 3, 9, 4, 1, 1, 0, 0, 38, 1, 0,1
41, 1, 180138, 1, 13, 1, 5, 3, 1, 2, 0, 0, 50, 14, 1,0
38, 5, 115076, 11, 14, 1, 5, 3, 1, 2, 0, 0, 70, 1, 1,0
23, 1, 115458, 4, 9, 3, 11, 2, 1, 2, 0, 0, 40, 1, 0,1
40, 1, 347890, 1, 13, 1, 6, 3, 1, 2, 0, 0, 40, 1, 1,0
41, 2, 196001, 4, 9, 1, 3, 1, 1, 1, 0, 0, 20, 1, 0,1
24, 6, 273905, 6, 12, 1, 13, 3, 1, 2, 0, 0, 50, 1, 0,1
20, 0, 119156, 2, 10, 3, 0, 2, 1, 2, 0, 0, 20, 1, 0,1
38, 1, 179488, 2, 10, 2, 2, 4, 1, 2, 0, 1741, 40, 1, 0,1
56, 1, 203580, 4, 9, 1, 9, 3, 1, 2, 0, 0, 35, 0, 0,1
58, 1, 236596, 4, 9, 1, 9, 3, 1, 2, 0, 0, 45, 1, 1,0
32, 1, 183916, 4, 9, 3, 3, 4, 1, 1, 0, 0, 34, 1, 0,1
40, 1, 207578, 6, 12, 1, 1, 3, 1, 2, 0, 1977, 60, 1, 1,0
45, 1, 153141, 4, 9, 1, 9, 3, 1, 2, 0, 0, 40, 0, 0,1
41, 1, 112763, 5, 15, 1, 6, 1, 1, 1, 0, 0, 40, 1, 1,0
42, 1, 390781, 1, 13, 1, 9, 1, 5, 1, 0, 0, 40, 1, 0,1
59, 5, 171328, 13, 6, 5, 3, 6, 5, 1, 0, 0, 30, 1, 0,1
19, 5, 27382, 2, 10, 3, 9, 2, 1, 2, 0, 0, 40, 1, 0,1
58, 1, 259014, 2, 10, 3, 11, 4, 1, 2, 0, 0, 20, 1, 0,1
42, 2, 303044, 4, 9, 1, 10, 3, 2, 2, 0, 0, 40, 2, 1,0
20, 1, 117789, 4, 9, 3, 3, 2, 1, 1, 0, 0, 40, 1, 0,1
32, 1, 172579, 4, 9, 4, 3, 4, 1, 1, 0, 0, 30, 1, 0,1
45, 1, 187666, 7, 11, 5, 5, 4, 1, 1, 0, 0, 45, 1, 0,1
50, 1, 204518, 9, 4, 2, 2, 4, 1, 2, 0, 0, 40, 1, 0,1
36, 1, 150042, 1, 13, 2, 6, 2, 1, 1, 0, 0, 40, 1, 0,1
45, 1, 98092, 4, 9, 1, 4, 3, 1, 2, 0, 0, 60, 1, 0,1
17, 1, 245918, 3, 7, 3, 3, 2, 1, 2, 0, 0, 12, 1, 0,1
59, 1, 146013, 2, 10, 1, 4, 3, 1, 2, 4064, 0, 40, 1, 0,1
26, 1, 378322, 3, 7, 1, 2, 3, 1, 2, 0, 0, 40, 1, 0,1
37, 3, 257295, 2, 10, 1, 5, 3, 2, 2, 0, 0, 75, 35, 1,0
19, 0, 218956, 2, 10, 3, 0, 2, 1, 2, 0, 0, 24, 5, 0,1
64, 1, 21174, 4, 9, 1, 5, 3, 1, 2, 0, 0, 40, 1, 1,0
33, 1, 185480, 1, 13, 3, 6, 4, 1, 1, 0, 0, 45, 1, 0,1
33, 1, 222205, 4, 9, 1, 2, 1, 1, 1, 0, 0, 40, 1, 1,0
61, 1, 69867, 4, 9, 1, 5, 3, 1, 2, 0, 0, 40, 1, 1,0
17, 1, 191260, 8, 5, 3, 3, 2, 1, 2, 1055, 0, 24, 1, 0,1
50, 2, 30653, 11, 14, 1, 10, 3, 1, 2, 2407, 0, 98, 1, 0,1
27, 5, 209109, 11, 14, 3, 6, 2, 1, 2, 0, 0, 35, 1, 0,1
30, 1, 70377, 4, 9, 2, 6, 2, 1, 1, 0, 0, 40, 1, 0,1
43, 1, 477983, 4, 9, 1, 7, 3, 5, 2, 0, 0, 40, 1, 0,1
44, 1, 170924, 2, 10, 1, 2, 3, 1, 2, 7298, 0, 40, 1, 1,0
35, 1, 190174, 2, 10, 3, 5, 4, 1, 1, 0, 0, 40, 1, 0,1
25, 1, 193787, 2, 10, 3, 1, 2, 1, 1, 0, 0, 40, 1, 0,1
24, 1, 279472, 2, 10, 1, 8, 1, 1, 1, 7298, 0, 48, 1, 1,0
22, 1, 34918, 1, 13, 3, 6, 4, 1, 1, 0, 0, 15, 6, 0,1
42, 5, 97688, 2, 10, 1, 2, 3, 1, 2, 5178, 0, 40, 1, 1,0
34, 1, 175413, 6, 12, 2, 4, 6, 5, 1, 0, 0, 45, 1, 0,1
60, 1, 173960, 1, 13, 2, 6, 4, 1, 1, 0, 0, 42, 1, 0,1
21, 1, 205759, 4, 9, 3, 7, 2, 1, 2, 0, 0, 40, 1, 0,1
57, 4, 425161, 11, 14, 1, 4, 3, 1, 2, 15024, 0, 40, 1, 1,0
41, 1, 220531, 5, 15, 1, 6, 3, 1, 2, 0, 0, 60, 1, 1,0
50, 1, 176609, 2, 10, 2, 3, 4, 1, 2, 0, 0, 45, 1, 0,1
25, 1, 371987, 1, 13, 3, 5, 4, 1, 1, 0, 0, 40, 1, 0,1
50, 1, 193884, 9, 4, 1, 2, 3, 1, 2, 0, 0, 40, 27, 0,1
36, 1, 200352, 1, 13, 1, 6, 3, 1, 2, 0, 0, 45, 1, 0,1
31, 1, 127595, 4, 9, 2, 6, 4, 1, 1, 0, 0, 40, 1, 0,1
29, 5, 220419, 1, 13, 3, 13, 4, 1, 2, 0, 0, 56, 1, 0,1
21, 1, 231931, 2, 10, 3, 4, 2, 1, 2, 0, 0, 45, 1, 0,1
